site name,site_num,heat_island,micro_hab,uhii_year,avg_humidity,sample_id,sample_lat,sample_long,moss_pres,morpho_pres,Canopy cover directions,,,,can_cov,growth_sub,dist_walk_m,dist_road_m,dist_water_m,direc_found,num_col,water_pres,moss_area_m2,NOTES
"chess park, santa monica",1,1,greenspace,450.64,,1.1,NR,NR,1,1,96,96,95,62,9.11,dirt,4.07,NR,NR,center,NR,0,,
,,,,,,1.2,NR,NR,0,0,79,95,96,90,6.25,dirt,19.65,NR,NR,west,NR,0,0,
,,,,,,1.3,NR,NR,0,0,93,96,96,96,0.78,dirt,28.05,NR,NR,south,NR,0,0,
"culver slauson park, del ray",2,1,greenspace,510.12,,2.1,NR,NR,0,0,14,54,82,35,51.82,dirt,1.6,>30,NR,east,NR,0,0,
,,,,,,2.2,NR,NR,0,0,73,37,69,96,28.39,dirt,4,>30,NR,center,NR,0,0,
,,,,,,2.3,NR,NR,0,0,90,60,65,96,19.01,dirt,5.07,>30,NR,easy,NR,0,0,
"del ray lagoon, marina del ray",3,1,waterway,201.45,,3.1,NR,NR,0,0,6,59,62,56,52.34,dirt,7.05,7.05,NR,north,NR,0,0,
,,,,,,3.2,NR,NR,0,0,38,73,72,96,27.34,dirt,19.65,19.65,NR,west,NR,0,0,
,,,,,,3.3,NR,NR,0,0,52,80,96,71,22.14,dirt,22.1,22.1,NR,center,NR,0,0,
"lennox park, lennox",4,1,greenspace,420.27,,4.1,NR,NR,1,1,61,4,29,91,51.82,tree bark,12.03,>30,NR,center,NR,0,,
,,,,,,4.2,NR,NR,0,0,96,96,96,96,0,mud,>30,>30,NR,north,NR,1,0,muddy
,,,,,,4.3,NR,NR,0,0,96,96,96,96,0,mud,>30,>30,NR,west,NR,1,0,muddy
"whittier blvd, boyle heights",5,2,urban,8230.12,,5.1,34.034444,-118.215556,0,0,96,96,59,85,12.5,concrete,0,6.5,NR,north,0,0,0,
,,,,,,5.2,34.034444,-118.215278,0,0,90,69,96,93,9.38,concrete,0,3.6,NR,Center,0,0,0,
,,,,,,5.3,34.034167,-118.215278,0,0,6,75,89,23,49.74,concrete,0,3.4,NR,center,0,0,0,
"echo park lake, echo park",6,2,waterway,9018.1,,6.1,34.071667,-118.261389,1,1,1,51,90,66,45.83,dirt,0.85,NR,8.7,3 east,6,0,0.005,
,,,,,,6.2,34.071667,-118.261389,0,0,95,4,77,87,31.51,dirt,0.2,NR,8.2,south,1,0,0,
,,,,,,6.2x,34.071667,-118.260556,1,1,10,90,96,73,29.95,dirt,0.83,NR,9.1,north,1,0,0.002,
